subject,hand,comparison,distance
31,left,D1_D2,0.07231756
31,left,D1_D3,0.1215435
31,left,D1_D4,0.1479862
31,left,D1_D5,0.2322522
31,left,D2_D3,0.006191665
31,left,D2_D4,0.06288265
31,left,D2_D5,0.1625628
31,left,D3_D4,-0.008938454
31,left,D3_D5,0.1129658
31,left,D4_D5,0.01805294
31,right,D1_D2,0.1555888
31,right,D1_D3,0.2975029
31,right,D1_D4,0.3008133
31,right,D1_D5,0.4688399
31,right,D2_D3,0.1813776
31,right,D2_D4,0.1514723
31,right,D2_D5,0.3833707
31,right,D3_D4,0.03836345
31,right,D3_D5,0.1862713
31,right,D4_D5,0.05354653
