subject,hand,comparison,distance
31,left,D1_D2,0.1409866
31,left,D1_D3,0.1535499
31,left,D1_D4,0.2156682
31,left,D1_D5,0.2776166
31,left,D2_D3,0.07968573
31,left,D2_D4,0.1483929
31,left,D2_D5,0.2265175
31,left,D3_D4,0.06425474
31,left,D3_D5,0.2019067
31,left,D4_D5,0.06676942
31,right,D1_D2,0.1752159
31,right,D1_D3,0.2570836
31,right,D1_D4,0.3696949
31,right,D1_D5,0.5261872
31,right,D2_D3,0.09501321
31,right,D2_D4,0.16123
31,right,D2_D5,0.3853057
31,right,D3_D4,0.04535244
31,right,D3_D5,0.1952208
31,right,D4_D5,0.05869324
