subject,hand,comparison,volume_a,volume_b,overlap
63,left,D1_D2,554,1839,303
63,left,D1_D3,554,782,130
63,left,D1_D4,554,832,62
63,left,D1_D5,554,759,75
63,left,D2_D3,1839,782,579
63,left,D2_D4,1839,832,522
63,left,D2_D5,1839,759,478
63,left,D3_D4,782,832,386
63,left,D3_D5,782,759,329
63,left,D4_D5,832,759,447
63,right,D1_D2,861,852,355
63,right,D1_D3,861,953,236
63,right,D1_D4,861,1415,484
63,right,D1_D5,861,837,212
63,right,D2_D3,852,953,389
63,right,D2_D4,852,1415,500
63,right,D2_D5,852,837,310
63,right,D3_D4,953,1415,517
63,right,D3_D5,953,837,325
63,right,D4_D5,1415,837,558
