subject,hand,comparison,distance
63,left,D1_D2,0.134399
63,left,D1_D3,0.1678941
63,left,D1_D4,0.2296001
63,left,D1_D5,0.2139516
63,left,D2_D3,0.1029522
63,left,D2_D4,0.2394187
63,left,D2_D5,0.2234329
63,left,D3_D4,0.1055416
63,left,D3_D5,0.1361941
63,left,D4_D5,0.05715202
63,right,D1_D2,0.1158368
63,right,D1_D3,0.4705153
63,right,D1_D4,0.1148417
63,right,D1_D5,0.2121139
63,right,D2_D3,0.150157
63,right,D2_D4,0.07221588
63,right,D2_D5,0.1527641
63,right,D3_D4,0.2592713
63,right,D3_D5,0.2919323
63,right,D4_D5,0.1106966
