subject,hand,comparison,volume_a,volume_b,overlap
63,left,D1_D2,613,1600,561
63,left,D1_D3,613,835,385
63,left,D1_D4,613,336,8
63,left,D1_D5,613,651,206
63,left,D2_D3,1600,835,633
63,left,D2_D4,1600,336,111
63,left,D2_D5,1600,651,412
63,left,D3_D4,835,336,71
63,left,D3_D5,835,651,218
63,left,D4_D5,336,651,104
63,right,D1_D2,601,437,178
63,right,D1_D3,601,442,103
63,right,D1_D4,601,368,144
63,right,D1_D5,601,118,53
63,right,D2_D3,437,442,206
63,right,D2_D4,437,368,161
63,right,D2_D5,437,118,54
63,right,D3_D4,442,368,210
63,right,D3_D5,442,118,59
63,right,D4_D5,368,118,80
