subject,hand,trial,digit,absolute_error
20,left,1,D4,3.969069981706668
20,left,2,D3,29.66575351781831
20,left,3,D2,8.105645402024974
20,left,4,D4,3.698238166293205
20,left,5,D2,1.9643679727993215
20,left,6,D4,23.98868032507627
20,left,7,D3,1.3090695811439952
20,left,8,D2,1.363765224200153
20,left,9,D5,5.556346545762743
20,left,10,D5,3.9037681805761477
20,left,11,D1,3.73332457264404
20,left,12,D3,32.81303434875559
20,left,13,D1,4.243589767169519
20,left,14,D2,3.3459506862571486
20,left,15,D3,24.800837312073433
20,left,16,D5,3.9483216056441175
20,left,17,D5,2.005110211152479
20,left,18,D4,2.1618378577408324
20,left,19,D2,0.3081865138577671
20,left,20,D3,3.3444760668491926
20,left,21,D1,2.013142285993559
20,left,22,D5,4.856512141280353
20,left,23,D4,4.180342646345821
20,left,24,D5,3.306766407169029
20,left,25,D2,3.4690693628341784
20,left,26,D2,4.160877589716406
20,left,27,D5,2.0888820907323895
20,left,28,D3,27.3317714660632
20,left,29,D4,0.8880882528639625
20,left,30,D2,3.1464962421878906
20,left,31,D5,11.191507622679993
20,left,32,D1,2.804400699596407
20,left,33,D4,6.375655176181448
20,left,34,D3,5.699298208096811
20,left,35,D4,3.3490551455975046
20,left,36,D3,4.6250142730234
20,left,37,D3,3.3182343958434393
20,left,38,D4,8.278683228094067
20,left,39,D5,4.026284571987118
20,left,40,D4,1.9480319866290698
20,left,41,D2,7.258095527369708
20,left,42,D3,5.311357857969205
20,left,43,D3,12.521858878376793
20,left,44,D3,10.012433964696921
20,left,45,D5,4.619298522099587
20,left,46,D1,4.644206321619506
20,left,47,D4,4.249110392910625
20,left,48,D5,3.9967203653104875
20,left,49,D2,0.3081865138577671
20,left,50,D2,11.109011421238613
20,left,51,D4,4.160877589716406
20,left,52,D5,4.564427531617486
20,left,53,D2,3.440860215053763
20,left,54,D1,8.387096774193548
20,left,55,D1,4.939197911871102
20,left,56,D3,14.147727846491977
20,left,57,D5,3.851385278556232
20,left,58,D1,6.896609024606434
20,left,59,D5,1.5452538631346577
20,left,60,D4,6.317314569030588
20,left,61,D5,4.177764181464779
20,left,62,D3,4.135202352045381
20,left,63,D2,3.233350904158278
20,left,64,D3,5.291280401260416
20,left,65,D4,0.4910919931998304
20,left,66,D5,7.350102458748271
20,left,67,D3,24.157707431922706
20,left,68,D4,6.4769118083362995
20,left,69,D2,4.874058211708909
20,left,70,D2,0.7896643211288235
20,left,71,D2,2.711149513234841
20,left,72,D4,7.297454377115909
20,left,73,D5,6.491441365716528
20,left,74,D4,4.619298522099587
20,left,75,D3,6.037669270666921
20,left,76,D2,4.649052762643946
