subject,hand,comparison,volume_a,volume_b,overlap
39,left,D1_D2,1237,909,591
39,left,D1_D3,1237,310,217
39,left,D1_D4,1237,1238,790
39,left,D1_D5,1237,677,458
39,left,D2_D3,909,310,180
39,left,D2_D4,909,1238,573
39,left,D2_D5,909,677,364
39,left,D3_D4,310,1238,200
39,left,D3_D5,310,677,156
39,left,D4_D5,1238,677,501
39,right,D1_D2,470,997,160
39,right,D1_D3,470,498,78
39,right,D1_D4,470,808,106
39,right,D1_D5,470,1326,109
39,right,D2_D3,997,498,264
39,right,D2_D4,997,808,307
39,right,D2_D5,997,1326,542
39,right,D3_D4,498,808,180
39,right,D3_D5,498,1326,269
39,right,D4_D5,808,1326,516
