subject,hand,comparison,distance
39,left,D1_D2,0.03926819
39,left,D1_D3,0.03536969
39,left,D1_D4,0.06576377
39,left,D1_D5,0.1433741
39,left,D2_D3,0.1255467
39,left,D2_D4,0.1544272
39,left,D2_D5,0.1769352
39,left,D3_D4,0.02625478
39,left,D3_D5,0.1077491
39,left,D4_D5,0.03996647
39,right,D1_D2,0.02419843
39,right,D1_D3,0.1029895
39,right,D1_D4,0.1661804
39,right,D1_D5,0.2320121
39,right,D2_D3,0.04804542
39,right,D2_D4,0.06137972
39,right,D2_D5,0.08655176
39,right,D3_D4,0.05662725
39,right,D3_D5,0.1136731
39,right,D4_D5,0.04908214
