subject,hand,comparison,distance
29,left,D1_D2,0.4333068
29,left,D1_D3,0.6600345
29,left,D1_D4,0.7601337
29,left,D1_D5,0.7323026
29,left,D2_D3,0.2296061
29,left,D2_D4,0.4067569
29,left,D2_D5,0.5623747
29,left,D3_D4,0.1633534
29,left,D3_D5,0.2468174
29,left,D4_D5,0.1783828
29,right,D1_D2,0.1183234
29,right,D1_D3,0.2065143
29,right,D1_D4,0.24919
29,right,D1_D5,0.1990303
29,right,D2_D3,0.0711187
29,right,D2_D4,0.1776359
29,right,D2_D5,0.1440911
29,right,D3_D4,0.06227899
29,right,D3_D5,0.09116684
29,right,D4_D5,0.05176456
