subject,hand,comparison,distance
29,left,D1_D2,0.4524309
29,left,D1_D3,0.6152769
29,left,D1_D4,0.8303062
29,left,D1_D5,0.7654367
29,left,D2_D3,0.1700411
29,left,D2_D4,0.470288
29,left,D2_D5,0.5382499
29,left,D3_D4,0.187848
29,left,D3_D5,0.3048903
29,left,D4_D5,0.2413214
29,right,D1_D2,0.07656924
29,right,D1_D3,0.1871584
29,right,D1_D4,0.2245112
29,right,D1_D5,0.1419037
29,right,D2_D3,0.1012488
29,right,D2_D4,0.185972
29,right,D2_D5,0.1386803
29,right,D3_D4,0.09803851
29,right,D3_D5,0.1312939
29,right,D4_D5,0.07757601
