subject,hand,run,volume,displacement
29,left,1,1,0.199669
29,left,1,2,0.272558
29,left,1,3,0.307828
29,left,1,4,0.228381
29,left,1,5,0.237535
29,left,1,6,0.292037
29,left,1,7,0.219013
29,left,1,8,0.245401
29,left,1,9,0.264257
29,left,1,10,0.198283
29,left,1,11,0.261127
29,left,1,12,0.208765
29,left,1,13,0.215516
29,left,1,14,0.193236
29,left,1,15,0.203343
29,left,1,16,0.176741
29,left,1,17,0.204231
29,left,1,18,0.212634
29,left,1,19,0.144497
29,left,1,20,0.167044
29,left,1,21,0.179456
29,left,1,22,0.161622
29,left,1,23,0.201119
29,left,1,24,0.170545
29,left,1,25,0.189754
29,left,1,26,0.155943
29,left,1,27,0.181036
29,left,1,28,0.139007
29,left,1,29,0.177602
29,left,1,30,0.126503
29,left,1,31,0.161729
29,left,1,32,0.126312
29,left,1,33,0.164527
29,left,1,34,0.133175
29,left,1,35,0.142937
29,left,1,36,0.114805
29,left,1,37,0.148922
29,left,1,38,0.0994884
29,left,1,39,0.138478
29,left,1,40,0.0987732
29,left,1,41,0.149434
29,left,1,42,0.121963
29,left,1,43,0.144837
29,left,1,44,0.0845492
29,left,1,45,0.112357
29,left,1,46,0.0841586
29,left,1,47,0.116953
29,left,1,48,0.0958818
29,left,1,49,0.132096
29,left,1,50,0.0739114
29,left,1,51,0.0988292
29,left,1,52,0.0569338
29,left,1,53,0.110604
29,left,1,54,0.0638268
29,left,1,55,0.102322
29,left,1,56,0.0339917
29,left,1,57,0.0997348
29,left,1,58,0.0695462
29,left,1,59,0.102866
29,left,1,60,0.00596255
29,left,1,61,0.0728877
29,left,1,62,0.0816071
29,left,1,63,0.0843029
29,left,1,64,0.0972493
29,left,1,65,0.0634187
29,left,1,66,0.0762553
29,left,1,67,0.0873182
29,left,1,68,0.0825907
29,left,1,69,0.0850126
29,left,1,70,0.0817277
29,left,1,71,0.0635069
29,left,1,72,0.117177
29,left,1,73,0.0857784
29,left,1,74,0.111675
29,left,1,75,0.107507
29,left,1,76,0.0803903
29,left,1,77,0.179277
29,left,1,78,0.20642
29,left,1,79,0.13272
29,left,1,80,0.122069
29,left,1,81,0.122783
29,left,1,82,0.12163
29,left,1,83,0.143415
29,left,1,84,0.136164
29,left,1,85,0.162554
29,left,1,86,0.16641
29,left,1,87,0.142843
29,left,1,88,0.196346
29,left,1,89,0.160242
29,left,1,90,0.222255
29,left,1,91,0.17255
29,left,1,92,0.212599
29,left,1,93,0.228765
29,left,1,94,0.19737
29,left,1,95,0.202993
29,left,1,96,0.227611
29,left,1,97,0.219327
29,left,1,98,0.298436
29,left,1,99,0.226047
29,left,1,100,0.314665
29,left,1,101,0.24441
29,left,1,102,0.304449
29,left,1,103,0.239277
29,left,1,104,0.300985
29,left,1,105,0.242222
29,left,1,106,0.316275
29,left,1,107,0.281455
29,left,1,108,0.331027
29,left,1,109,0.296998
29,left,1,110,0.351324
29,left,1,111,0.335999
29,left,1,112,0.309944
29,left,1,113,0.343366
29,left,1,114,0.324576
29,left,1,115,0.389472
29,left,1,116,0.334519
29,left,1,117,0.352134
29,left,1,118,0.461232
29,left,2,1,0.47879
29,left,2,2,0.529663
29,left,2,3,0.440742
29,left,2,4,0.473249
29,left,2,5,0.482747
29,left,2,6,0.380009
29,left,2,7,0.434204
29,left,2,8,0.437108
29,left,2,9,0.402146
29,left,2,10,0.435406
29,left,2,11,0.374945
29,left,2,12,0.423252
29,left,2,13,0.369302
29,left,2,14,0.376136
29,left,2,15,0.411587
29,left,2,16,0.342232
29,left,2,17,0.374903
29,left,2,18,0.347553
29,left,2,19,0.365899
29,left,2,20,0.327789
29,left,2,21,0.2986
29,left,2,22,0.34344
29,left,2,23,0.25662
29,left,2,24,0.304703
29,left,2,25,0.240692
29,left,2,26,0.263912
29,left,2,27,0.259493
29,left,2,28,0.214351
29,left,2,29,0.255052
29,left,2,30,0.204542
29,left,2,31,0.230545
29,left,2,32,0.187455
29,left,2,33,0.231867
29,left,2,34,0.184207
29,left,2,35,0.241234
29,left,2,36,0.164804
29,left,2,37,0.174913
29,left,2,38,0.157238
29,left,2,39,0.183992
29,left,2,40,0.178839
29,left,2,41,0.111516
29,left,2,42,0.156757
29,left,2,43,0.11111
29,left,2,44,0.120464
29,left,2,45,0.105616
29,left,2,46,0.0805559
29,left,2,47,0.119121
29,left,2,48,0.0801087
29,left,2,49,0.0749416
29,left,2,50,0.0778443
29,left,2,51,0.0724383
29,left,2,52,0.0601712
29,left,2,53,0.0555984
29,left,2,54,0.0685244
29,left,2,55,0.0425348
29,left,2,56,0.0658982
29,left,2,57,0.0579937
29,left,2,58,0.0515643
29,left,2,59,0.0583974
29,left,2,60,0.0083066
29,left,2,61,0.061566
29,left,2,62,0.0543175
29,left,2,63,0.0636809
29,left,2,64,0.080085
29,left,2,65,0.0728503
29,left,2,66,0.117832
29,left,2,67,0.0964942
29,left,2,68,0.117795
29,left,2,69,0.0878936
29,left,2,70,0.138628
29,left,2,71,0.124223
29,left,2,72,0.127195
29,left,2,73,0.129103
29,left,2,74,0.140525
29,left,2,75,0.129903
29,left,2,76,0.191079
29,left,2,77,0.147386
29,left,2,78,0.178998
29,left,2,79,0.212715
29,left,2,80,0.192175
29,left,2,81,0.249307
29,left,2,82,0.18682
29,left,2,83,0.260533
29,left,2,84,0.222623
29,left,2,85,0.269658
29,left,2,86,0.238191
29,left,2,87,0.284214
29,left,2,88,0.239834
29,left,2,89,0.295988
29,left,2,90,0.248371
29,left,2,91,0.318478
29,left,2,92,0.280917
29,left,2,93,0.335233
29,left,2,94,0.287799
29,left,2,95,0.365726
29,left,2,96,0.330056
29,left,2,97,0.36764
29,left,2,98,0.344743
29,left,2,99,0.396906
29,left,2,100,0.363563
29,left,2,101,0.436856
29,left,2,102,0.392883
29,left,2,103,0.448787
29,left,2,104,0.416321
29,left,2,105,0.466727
29,left,2,106,0.431754
29,left,2,107,0.462994
29,left,2,108,0.480329
29,left,2,109,0.464352
29,left,2,110,0.516464
29,left,2,111,0.463679
29,left,2,112,0.490567
29,left,2,113,0.515209
29,left,2,114,0.495317
29,left,2,115,0.531565
29,left,2,116,0.514423
29,left,2,117,0.576273
29,left,2,118,0.533193
29,left,3,1,0.388212
29,left,3,2,0.491182
29,left,3,3,0.566243
29,left,3,4,0.522292
29,left,3,5,0.434764
29,left,3,6,0.485965
29,left,3,7,0.533936
29,left,3,8,0.438843
29,left,3,9,0.469006
29,left,3,10,0.465222
29,left,3,11,0.421333
29,left,3,12,0.471267
29,left,3,13,0.395475
29,left,3,14,0.45209
29,left,3,15,0.461848
29,left,3,16,0.368855
29,left,3,17,0.413521
29,left,3,18,0.370766
29,left,3,19,0.344002
29,left,3,20,0.402028
29,left,3,21,0.307565
29,left,3,22,0.366432
29,left,3,23,0.28203
29,left,3,24,0.267152
29,left,3,25,0.323186
29,left,3,26,0.235174
29,left,3,27,0.238896
29,left,3,28,0.308905
29,left,3,29,0.236106
29,left,3,30,0.221097
29,left,3,31,0.277892
29,left,3,32,0.22721
29,left,3,33,0.166662
29,left,3,34,0.193186
29,left,3,35,0.240552
29,left,3,36,0.181979
29,left,3,37,0.126038
29,left,3,38,0.12169
29,left,3,39,0.151146
29,left,3,40,0.20867
29,left,3,41,0.141428
29,left,3,42,0.115954
29,left,3,43,0.107656
29,left,3,44,0.146696
29,left,3,45,0.158888
29,left,3,46,0.143256
29,left,3,47,0.119637
29,left,3,48,0.085344
29,left,3,49,0.11834
29,left,3,50,0.129738
29,left,3,51,0.12933
29,left,3,52,0.0596402
29,left,3,53,0.0763098
29,left,3,54,0.0955953
29,left,3,55,0.109545
29,left,3,56,0.0638885
29,left,3,57,0.0501566
29,left,3,58,0.0602286
29,left,3,59,0.06102
29,left,3,60,0.0125662
29,left,3,61,0.0434855
29,left,3,62,0.0391169
29,left,3,63,0.0535875
29,left,3,64,0.042085
29,left,3,65,0.0759999
29,left,3,66,0.0518901
29,left,3,67,0.0862855
29,left,3,68,0.0758344
29,left,3,69,0.0995855
29,left,3,70,0.101897
29,left,3,71,0.100984
29,left,3,72,0.142176
29,left,3,73,0.114467
29,left,3,74,0.159629
29,left,3,75,0.13789
29,left,3,76,0.176375
29,left,3,77,0.180516
29,left,3,78,0.151333
29,left,3,79,0.179319
29,left,3,80,0.205773
29,left,3,81,0.1723
29,left,3,82,0.229842
29,left,3,83,0.201439
29,left,3,84,0.192929
29,left,3,85,0.249843
29,left,3,86,0.237418
29,left,3,87,0.250165
29,left,3,88,0.257099
29,left,3,89,0.277229
29,left,3,90,0.331012
29,left,3,91,0.280558
29,left,3,92,0.387439
29,left,3,93,0.337831
29,left,3,94,0.339484
29,left,3,95,0.378052
29,left,3,96,0.365811
29,left,3,97,0.427312
29,left,3,98,0.371679
29,left,3,99,0.406741
29,left,3,100,0.533887
29,left,3,101,0.475449
29,left,3,102,0.404789
29,left,3,103,0.458501
29,left,3,104,0.46247
29,left,3,105,0.432565
29,left,3,106,0.583361
29,left,3,107,0.554676
29,left,3,108,0.486298
29,left,3,109,0.553481
29,left,3,110,0.688713
29,left,3,111,0.649918
29,left,3,112,0.541048
29,left,3,113,0.552417
29,left,3,114,0.707188
29,left,3,115,0.655948
29,left,3,116,0.559842
29,left,3,117,0.583912
29,left,3,118,0.775394
29,left,4,1,0.242473
29,left,4,2,0.336472
29,left,4,3,0.350269
29,left,4,4,0.309454
29,left,4,5,0.233111
29,left,4,6,0.2799
29,left,4,7,0.327891
29,left,4,8,0.271331
29,left,4,9,0.20571
29,left,4,10,0.280983
29,left,4,11,0.243541
29,left,4,12,0.174502
29,left,4,13,0.237344
29,left,4,14,0.281237
29,left,4,15,0.199986
29,left,4,16,0.162166
29,left,4,17,0.218397
29,left,4,18,0.224285
29,left,4,19,0.149842
29,left,4,20,0.157023
29,left,4,21,0.224345
29,left,4,22,0.229387
29,left,4,23,0.135321
29,left,4,24,0.111688
29,left,4,25,0.127822
29,left,4,26,0.1913
29,left,4,27,0.20463
29,left,4,28,0.115138
29,left,4,29,0.13181
29,left,4,30,0.182022
29,left,4,31,0.158703
29,left,4,32,0.10837
29,left,4,33,0.150009
29,left,4,34,0.178
29,left,4,35,0.118078
29,left,4,36,0.101019
29,left,4,37,0.129656
29,left,4,38,0.168867
29,left,4,39,0.135216
29,left,4,40,0.110768
29,left,4,41,0.131943
29,left,4,42,0.0701166
29,left,4,43,0.11342
29,left,4,44,0.0847412
29,left,4,45,0.108991
29,left,4,46,0.0772535
29,left,4,47,0.109019
29,left,4,48,0.0599207
29,left,4,49,0.075622
29,left,4,50,0.0584405
29,left,4,51,0.0742396
29,left,4,52,0.0349942
29,left,4,53,0.066893
29,left,4,54,0.0637779
29,left,4,55,0.0602869
29,left,4,56,0.0462511
29,left,4,57,0.0528549
29,left,4,58,0.0407071
29,left,4,59,0.0498879
29,left,4,60,0.0117397
29,left,4,61,0.0569043
29,left,4,62,0.0428168
29,left,4,63,0.070168
29,left,4,64,0.0423404
29,left,4,65,0.0987803
29,left,4,66,0.0511727
29,left,4,67,0.11243
29,left,4,68,0.14518
29,left,4,69,0.0792149
29,left,4,70,0.109609
29,left,4,71,0.121025
29,left,4,72,0.0941535
29,left,4,73,0.161532
29,left,4,74,0.0990464
29,left,4,75,0.148485
29,left,4,76,0.134453
29,left,4,77,0.15904
29,left,4,78,0.158523
29,left,4,79,0.186057
29,left,4,80,0.204347
29,left,4,81,0.135097
29,left,4,82,0.200865
29,left,4,83,0.286182
29,left,4,84,0.204572
29,left,4,85,0.196158
29,left,4,86,0.251215
29,left,4,87,0.180303
29,left,4,88,0.19546
