subject,hand,comparison,distance
14,left,D1_D2,0.1826055
14,left,D1_D3,0.1932523
14,left,D1_D4,0.3422998
14,left,D1_D5,0.299542
14,left,D2_D3,0.07399888
14,left,D2_D4,0.1512308
14,left,D2_D5,0.2106161
14,left,D3_D4,0.04080271
14,left,D3_D5,0.1645622
14,left,D4_D5,0.1097796
14,right,D1_D2,0.08974542
14,right,D1_D3,0.1178798
14,right,D1_D4,0.1576174
14,right,D1_D5,0.1478559
14,right,D2_D3,0.02328128
14,right,D2_D4,0.05812274
14,right,D2_D5,0.1096188
14,right,D3_D4,0.002155266
14,right,D3_D5,0.07516277
14,right,D4_D5,0.02505626
