subject,hand,comparison,volume_a,volume_b,overlap
14,left,D1_D2,1095,893,388
14,left,D1_D3,1095,1310,549
14,left,D1_D4,1095,1244,414
14,left,D1_D5,1095,2208,588
14,left,D2_D3,893,1310,637
14,left,D2_D4,893,1244,621
14,left,D2_D5,893,2208,767
14,left,D3_D4,1310,1244,800
14,left,D3_D5,1310,2208,1031
14,left,D4_D5,1244,2208,1040
14,right,D1_D2,1224,1676,884
14,right,D1_D3,1224,1158,610
14,right,D1_D4,1224,1424,665
14,right,D1_D5,1224,1437,643
14,right,D2_D3,1676,1158,822
14,right,D2_D4,1676,1424,1027
14,right,D2_D5,1676,1437,1030
14,right,D3_D4,1158,1424,767
14,right,D3_D5,1158,1437,769
14,right,D4_D5,1424,1437,1068
