subject,hand,comparison,distance
26,left,D1_D2,0.1005962
26,left,D1_D3,0.08290602
26,left,D1_D4,0.1911088
26,left,D1_D5,0.1516066
26,left,D2_D3,0.1032763
26,left,D2_D4,0.1800475
26,left,D2_D5,0.1528721
26,left,D3_D4,0.1051761
26,left,D3_D5,0.06237597
26,left,D4_D5,0.03477701
26,right,D1_D2,0.1586208
26,right,D1_D3,0.1717151
26,right,D1_D4,0.2278935
26,right,D1_D5,0.4119844
26,right,D2_D3,0.2759886
26,right,D2_D4,0.1760039
26,right,D2_D5,0.442118
26,right,D3_D4,0.2492758
26,right,D3_D5,0.2827982
26,right,D4_D5,0.1722312
