subject,hand,comparison,volume_a,volume_b,overlap
26,left,D1_D2,1238,1319,819
26,left,D1_D3,1238,484,322
26,left,D1_D4,1238,681,320
26,left,D1_D5,1238,626,308
26,left,D2_D3,1319,484,358
26,left,D2_D4,1319,681,441
26,left,D2_D5,1319,626,474
26,left,D3_D4,484,681,285
26,left,D3_D5,484,626,298
26,left,D4_D5,681,626,377
26,right,D1_D2,1965,2617,1721
26,right,D1_D3,1965,530,451
26,right,D1_D4,1965,2931,1786
26,right,D1_D5,1965,1818,1121
26,right,D2_D3,2617,530,506
26,right,D2_D4,2617,2931,2496
26,right,D2_D5,2617,1818,1612
26,right,D3_D4,530,2931,519
26,right,D3_D5,530,1818,446
26,right,D4_D5,2931,1818,1764
