subject,hand,comparison,distance
26,left,D1_D2,0.04962784
26,left,D1_D3,0.04011244
26,left,D1_D4,0.10033
26,left,D1_D5,0.09741761
26,left,D2_D3,0.03634358
26,left,D2_D4,0.09539612
26,left,D2_D5,0.1038738
26,left,D3_D4,0.02539597
26,left,D3_D5,0.04866985
26,left,D4_D5,-0.003781647
26,right,D1_D2,0.2043863
26,right,D1_D3,0.1549661
26,right,D1_D4,0.2252895
26,right,D1_D5,0.4485635
26,right,D2_D3,0.2571161
26,right,D2_D4,0.1883592
26,right,D2_D5,0.4756444
26,right,D3_D4,0.2489837
26,right,D3_D5,0.2927491
26,right,D4_D5,0.2794182
