subject,hand,comparison,volume_a,volume_b,overlap
26,left,D1_D2,1577,2579,1064
26,left,D1_D3,1577,1007,453
26,left,D1_D4,1577,1581,549
26,left,D1_D5,1577,1396,472
26,left,D2_D3,2579,1007,743
26,left,D2_D4,2579,1581,1117
26,left,D2_D5,2579,1396,1063
26,left,D3_D4,1007,1581,643
26,left,D3_D5,1007,1396,536
26,left,D4_D5,1581,1396,842
26,right,D1_D2,3326,5054,3104
26,right,D1_D3,3326,936,806
26,right,D1_D4,3326,5602,3209
26,right,D1_D5,3326,3405,2234
26,right,D2_D3,5054,936,906
26,right,D2_D4,5054,5602,4779
26,right,D2_D5,5054,3405,3119
26,right,D3_D4,936,5602,919
26,right,D3_D5,936,3405,801
26,right,D4_D5,5602,3405,3339
