subject,hand,comparison,distance
33,left,D1_D2,0.1236854
33,left,D1_D3,0.1682718
33,left,D1_D4,0.3735631
33,left,D1_D5,0.5058816
33,left,D2_D3,-0.002880348
33,left,D2_D4,0.1235835
33,left,D2_D5,0.2283121
33,left,D3_D4,0.05627321
33,left,D3_D5,0.1597975
33,left,D4_D5,-0.002177195
33,right,D1_D2,0.351377
33,right,D1_D3,0.7426674
33,right,D1_D4,0.7002626
33,right,D1_D5,0.5534126
33,right,D2_D3,0.3539619
33,right,D2_D4,0.5256537
33,right,D2_D5,0.4404429
33,right,D3_D4,0.2111184
33,right,D3_D5,0.2303746
33,right,D4_D5,0.04302467
