subject,hand,comparison,distance
33,left,D1_D2,0.109634
33,left,D1_D3,0.1420378
33,left,D1_D4,0.4040252
33,left,D1_D5,0.4972264
33,left,D2_D3,0.02485027
33,left,D2_D4,0.1666748
33,left,D2_D5,0.286249
33,left,D3_D4,0.08899899
33,left,D3_D5,0.2147212
33,left,D4_D5,0.001493294
33,right,D1_D2,0.5091432
33,right,D1_D3,0.7556347
33,right,D1_D4,0.8246241
33,right,D1_D5,0.6092154
33,right,D2_D3,0.264607
33,right,D2_D4,0.5766882
33,right,D2_D5,0.5356415
33,right,D3_D4,0.2022167
33,right,D3_D5,0.2490684
33,right,D4_D5,0.02564645
