subject,hand,comparison,volume_a,volume_b,overlap
33,left,D1_D2,3472,2902,2676
33,left,D1_D3,3472,2548,2278
33,left,D1_D4,3472,1252,1149
33,left,D1_D5,3472,1840,1431
33,left,D2_D3,2902,2548,2143
33,left,D2_D4,2902,1252,1145
33,left,D2_D5,2902,1840,1375
33,left,D3_D4,2548,1252,1109
33,left,D3_D5,2548,1840,1369
33,left,D4_D5,1252,1840,1049
33,right,D1_D2,269,259,43
33,right,D1_D3,269,285,55
33,right,D1_D4,269,766,80
33,right,D1_D5,269,341,47
33,right,D2_D3,259,285,46
33,right,D2_D4,259,766,23
33,right,D2_D5,259,341,40
33,right,D3_D4,285,766,141
33,right,D3_D5,285,341,121
33,right,D4_D5,766,341,212
