subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
33,left,D1,7403,-3.306,-0.8179,-0.1284,-0.2108,0.6158,6.686,0.7025,152,104,117,-62,-22,45
33,left,D1,7998,-0.9365,0.07985,1.062,0.889,2.136,19.67,1.06,31,93,127,59,-33,55
33,left,D2,7403,-2.708,-0.617,-0.04021,-0.1145,0.6413,5.195,0.5673,150,101,119,-60,-25,47
33,left,D2,7998,-1.227,-0.02928,0.8639,0.7247,1.871,14.04,0.8775,31,93,127,59,-33,55
33,left,D3,7403,-1.842,-0.6233,-0.06163,-0.1345,0.5352,5.028,0.5468,140,90,132,-50,-36,60
33,left,D3,7998,-0.97,0.01195,0.7551,0.6314,1.599,14.55,0.7798,31,93,127,59,-33,55
33,left,D4,7403,-2.286,-0.7865,-0.194,-0.2454,0.4581,4.997,0.5463,140,90,132,-50,-36,60
33,left,D4,7998,-0.9279,-0.1905,0.6255,0.3777,1.71,14.58,0.9652,31,93,127,59,-33,55
33,left,D5,7403,-2.309,-0.8234,-0.1419,-0.2145,0.6185,5.455,0.6413,152,104,117,-62,-22,45
33,left,D5,7998,-1.308,-0.1317,0.758,0.5199,1.822,19.93,1.088,31,93,127,59,-33,55
33,right,D1,7403,-2.018,-0.5194,0.1813,0.09732,0.9971,4.51,0.6456,141,89,130,-51,-37,58
33,right,D1,7998,-1.396,-0.3583,0.1401,0.07869,0.6995,6.784,0.4789,32,92,128,58,-34,56
33,right,D2,7403,-1.903,-0.537,0.08468,0.0282,0.7717,3.413,0.5513,142,109,132,-52,-17,60
33,right,D2,7998,-3.527,-0.9334,-0.3345,-0.2923,0.1863,1.804,0.4644,32,116,126,58,-10,54
33,right,D3,7403,-1.477,-0.5322,0.1009,0.00207,0.8555,5.752,0.5879,141,109,132,-51,-17,60
33,right,D3,7998,-2.183,-0.876,-0.32,-0.3021,0.2249,2.139,0.4611,31,94,126,59,-32,54
33,right,D4,7403,-1.293,-0.3148,0.3805,0.2323,1.243,5.691,0.6942,140,89,131,-50,-37,59
33,right,D4,7998,-1.503,-0.3517,0.1234,0.07662,0.6203,6.706,0.4972,32,92,128,58,-34,56
33,right,D5,7403,-1.341,-0.4301,0.1976,0.08122,1.001,4.248,0.5963,140,89,131,-50,-37,59
33,right,D5,7998,-2.418,-0.5832,-0.04346,-0.0945,0.5248,6.464,0.5175,32,92,128,58,-34,56
