subject,hand,comparison,distance
43,left,D1_D2,0.08200302
43,left,D1_D3,0.2044814
43,left,D1_D4,0.1798049
43,left,D1_D5,0.1912226
43,left,D2_D3,0.08071432
43,left,D2_D4,0.05820898
43,left,D2_D5,0.07558092
43,left,D3_D4,0.05613744
43,left,D3_D5,0.08769094
43,left,D4_D5,0.01491903
43,right,D1_D2,-0.01006463
43,right,D1_D3,0.03185996
43,right,D1_D4,0.08090076
43,right,D1_D5,0.02993864
43,right,D2_D3,0.01059219
43,right,D2_D4,0.04754754
43,right,D2_D5,0.09531631
43,right,D3_D4,0.05293357
43,right,D3_D5,0.05727416
43,right,D4_D5,0.05966384
