subject,hand,comparison,distance
43,left,D1_D2,0.08844069
43,left,D1_D3,0.1741651
43,left,D1_D4,0.1483979
43,left,D1_D5,0.1733443
43,left,D2_D3,0.06282233
43,left,D2_D4,0.05594974
43,left,D2_D5,0.06491248
43,left,D3_D4,0.02302505
43,left,D3_D5,0.0690131
43,left,D4_D5,0.01727862
43,right,D1_D2,0.00225228
43,right,D1_D3,0.03158521
43,right,D1_D4,0.06915216
43,right,D1_D5,0.02883401
43,right,D2_D3,0.01651756
43,right,D2_D4,0.03112994
43,right,D2_D5,0.09159938
43,right,D3_D4,0.01089923
43,right,D3_D5,0.04200225
43,right,D4_D5,0.02406806
