subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
43,left,D1,7018,-6.501,-0.544,-0.1529,-0.127,0.2865,2.596,0.4807,150,106,116,-60,-20,44
43,left,D1,7776,-3.788,-0.2286,0.3153,0.2007,0.9386,5.567,0.6055,40,97,133,50,-29,61
43,left,D2,7018,-6.525,-0.6268,-0.2236,-0.1776,0.1907,1.417,0.4534,150,108,122,-60,-18,50
43,left,D2,7776,-1.84,-0.2559,0.2865,0.2113,0.8872,5.041,0.5345,42,95,134,48,-31,62
43,left,D3,7018,-4.682,-0.4243,-0.07732,-0.05808,0.2887,3.091,0.3863,149,111,122,-59,-15,50
43,left,D3,7776,-1.507,-0.3382,0.1664,0.05032,0.8107,11.29,0.5554,41,106,136,49,-20,64
43,left,D4,7018,-7.053,-0.4297,-0.08755,-0.0617,0.2707,2.662,0.3801,141,95,128,-51,-31,56
43,left,D4,7776,-1.313,-0.2116,0.2776,0.1837,0.8318,13.35,0.5404,41,106,136,49,-20,64
43,left,D5,7018,-4.578,-0.4347,-0.06732,-0.05994,0.3432,2.479,0.3872,149,111,122,-59,-15,50
43,left,D5,7776,-1.568,-0.2721,0.3047,0.2085,0.9362,6.322,0.5821,40,97,132,50,-29,60
43,right,D1,7018,-1.213,-0.2275,0.2228,0.1552,0.7404,4.419,0.4652,149,111,122,-59,-15,50
43,right,D1,7776,-2.364,-0.4389,-0.1356,-0.1314,0.1751,2.056,0.26,40,112,134,50,-14,62
43,right,D2,7018,-2.823,-0.1156,0.4176,0.2633,1.077,8.977,0.6734,133,91,135,-43,-35,63
43,right,D2,7776,-5.405,-0.3612,0.01495,0.002511,0.3673,78.76,0.9615,40,112,134,50,-14,62
43,right,D3,7018,-1.625,-0.2654,0.2322,0.1399,0.7847,6.71,0.5261,149,111,122,-59,-15,50
43,right,D3,7776,-8.762,-0.4048,-0.0367,-0.04744,0.3283,3.983,0.3517,40,108,134,50,-18,62
43,right,D4,7018,-1.143,-0.2165,0.3792,0.194,1.153,10.22,0.7539,133,91,135,-43,-35,63
43,right,D4,7776,-12.11,-0.3657,0.01725,-0.01766,0.4522,2.772,0.3875,41,96,133,49,-30,61
43,right,D5,7018,-2.761,-0.2983,0.2135,0.125,0.8158,7.084,0.5923,133,91,135,-43,-35,63
43,right,D5,7776,-8.237,-0.404,-0.04308,-0.04832,0.3264,2.099,0.3509,41,96,133,49,-30,61
