subject,hand,comparison,volume_a,volume_b,overlap
43,left,D1_D2,383,321,119
43,left,D1_D3,383,297,36
43,left,D1_D4,383,420,49
43,left,D1_D5,383,746,40
43,left,D2_D3,321,297,83
43,left,D2_D4,321,420,83
43,left,D2_D5,321,746,104
43,left,D3_D4,297,420,146
43,left,D3_D5,297,746,128
43,left,D4_D5,420,746,294
43,right,D1_D2,337,722,207
43,right,D1_D3,337,323,142
43,right,D1_D4,337,659,122
43,right,D1_D5,337,431,109
43,right,D2_D3,722,323,238
43,right,D2_D4,722,659,369
43,right,D2_D5,722,431,188
43,right,D3_D4,323,659,210
43,right,D3_D5,323,431,149
43,right,D4_D5,659,431,262
