subject,hand,comparison,volume_a,volume_b,overlap
30,left,D1_D2,409,757,159
30,left,D1_D3,409,324,66
30,left,D1_D4,409,856,118
30,left,D1_D5,409,347,76
30,left,D2_D3,757,324,157
30,left,D2_D4,757,856,326
30,left,D2_D5,757,347,156
30,left,D3_D4,324,856,153
30,left,D3_D5,324,347,71
30,left,D4_D5,856,347,296
30,right,D1_D2,245,481,81
30,right,D1_D3,245,994,79
30,right,D1_D4,245,96,8
30,right,D1_D5,245,368,26
30,right,D2_D3,481,994,286
30,right,D2_D4,481,96,26
30,right,D2_D5,481,368,104
30,right,D3_D4,994,96,55
30,right,D3_D5,994,368,210
30,right,D4_D5,96,368,34
