subject,hand,comparison,distance
24,left,D1_D2,0.4372573
24,left,D1_D3,0.8876561
24,left,D1_D4,0.9695597
24,left,D1_D5,0.9781952
24,left,D2_D3,0.3499538
24,left,D2_D4,0.5173866
24,left,D2_D5,0.6991885
24,left,D3_D4,0.08132574
24,left,D3_D5,0.4043436
24,left,D4_D5,0.2212588
24,right,D1_D2,0.1447839
24,right,D1_D3,0.2391721
24,right,D1_D4,0.3199982
24,right,D1_D5,0.2850738
24,right,D2_D3,0.05093055
24,right,D2_D4,0.1545473
24,right,D2_D5,0.1655866
24,right,D3_D4,0.07739957
24,right,D3_D5,0.08690288
24,right,D4_D5,0.04788668
