subject,hand,comparison,volume_a,volume_b,overlap
24,left,D1_D2,1469,2175,1154
24,left,D1_D3,1469,2318,909
24,left,D1_D4,1469,2288,922
24,left,D1_D5,1469,2000,725
24,left,D2_D3,2175,2318,1612
24,left,D2_D4,2175,2288,1567
24,left,D2_D5,2175,2000,1319
24,left,D3_D4,2318,2288,1929
24,left,D3_D5,2318,2000,1675
24,left,D4_D5,2288,2000,1699
24,right,D1_D2,1820,814,566
24,right,D1_D3,1820,816,381
24,right,D1_D4,1820,647,222
24,right,D1_D5,1820,1407,499
24,right,D2_D3,814,816,403
24,right,D2_D4,814,647,271
24,right,D2_D5,814,1407,451
24,right,D3_D4,816,647,375
24,right,D3_D5,816,1407,611
24,right,D4_D5,647,1407,542
