subject,hand,comparison,distance
24,left,D1_D2,0.4445844
24,left,D1_D3,0.8212271
24,left,D1_D4,0.9441541
24,left,D1_D5,0.8621928
24,left,D2_D3,0.3469488
24,left,D2_D4,0.4852428
24,left,D2_D5,0.6781969
24,left,D3_D4,0.05868987
24,left,D3_D5,0.3583832
24,left,D4_D5,0.2160514
24,right,D1_D2,0.2863618
24,right,D1_D3,0.3862765
24,right,D1_D4,0.5041237
24,right,D1_D5,0.4825419
24,right,D2_D3,0.09880316
24,right,D2_D4,0.2707049
24,right,D2_D5,0.2876602
24,right,D3_D4,0.1568649
24,right,D3_D5,0.1364178
24,right,D4_D5,0.08652628
