subject,hand,comparison,distance
36,left,D1_D2,0.5785912
36,left,D1_D3,0.8868037
36,left,D1_D4,1.088403
36,left,D1_D5,1.187991
36,left,D2_D3,0.2908307
36,left,D2_D4,0.4780647
36,left,D2_D5,0.6230496
36,left,D3_D4,0.204076
36,left,D3_D5,0.4494217
36,left,D4_D5,0.1193954
36,right,D1_D2,0.2876734
36,right,D1_D3,0.3994929
36,right,D1_D4,0.3996861
36,right,D1_D5,0.4337845
36,right,D2_D3,0.1111822
36,right,D2_D4,0.2404164
36,right,D2_D5,0.2104
36,right,D3_D4,0.0527558
36,right,D3_D5,0.1834954
36,right,D4_D5,0.07517672
