subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
34,left,D1,9042,-3.482,-0.6917,-0.2015,-0.1764,0.2712,1.832,0.4121,150,115,121,-60,-11,49
34,left,D1,9246,-1.641,-0.1657,0.3173,0.2333,0.8401,5.047,0.513,30,116,125,60,-10,53
34,left,D2,9042,-2.075,-0.565,-0.2324,-0.21,0.07554,0.8143,0.2625,143,118,128,-53,-8,56
34,left,D2,9246,-2.501,-0.4134,-0.05678,-0.0651,0.3171,1.619,0.302,42,103,139,48,-23,67
34,left,D3,9042,-2.19,-0.6463,-0.2296,-0.2111,0.1741,0.7711,0.3294,129,113,139,-39,-13,67
34,left,D3,9246,-2.42,-0.4005,-0.03351,-0.05586,0.3566,1.663,0.3113,50,118,135,40,-8,63
34,left,D4,9042,-2.895,-0.706,-0.2767,-0.2556,0.1375,1.418,0.3622,149,116,121,-59,-10,49
34,left,D4,9246,-2.564,-0.294,0.3069,0.1929,1.051,5.415,0.5879,48,105,139,42,-21,67
34,left,D5,9042,-1.226,-0.2749,0.000685,0.001977,0.2781,0.9687,0.2248,147,99,119,-57,-27,47
34,left,D5,9246,-1.886,-0.1949,0.1095,0.09489,0.4188,2.218,0.2622,57,109,143,33,-17,71
34,right,D1,9042,-3.302,-0.8963,-0.1043,-0.1214,0.7112,4.119,0.6853,145,114,120,-55,-12,48
34,right,D1,9246,-5.093,-0.929,-0.4007,-0.3336,0.1003,1.204,0.5026,30,117,124,60,-9,52
34,right,D2,9042,-1.178,-0.2569,0.2853,0.1916,0.9501,3.41,0.5228,151,97,122,-61,-29,50
34,right,D2,9246,-0.9521,-0.151,0.2499,0.1906,0.6891,4.676,0.398,34,111,131,56,-15,59
34,right,D3,9042,-2.049,-0.5197,0.1529,0.08344,0.9392,4.118,0.6232,151,97,121,-61,-29,49
34,right,D3,9246,-2.436,-0.5501,-0.09996,-0.1059,0.3687,1.799,0.3952,28,122,118,62,-4,46
34,right,D4,9042,-1.96,-0.4829,0.2209,0.1025,1.09,6.077,0.7073,142,101,135,-52,-25,63
34,right,D4,9246,-2.788,-0.503,-0.07821,-0.1058,0.3688,2.743,0.3837,30,117,124,60,-9,52
34,right,D5,9042,-1.531,-0.3947,0.254,0.1487,1.011,5.276,0.6258,151,97,121,-61,-29,49
34,right,D5,9246,-1.227,-0.3434,0.0419,-0.005272,0.4573,2.866,0.3663,30,118,123,60,-8,51
