subject,hand,comparison,volume_a,volume_b,overlap
34,left,D1_D2,1619,69,31
34,left,D1_D3,1619,174,86
34,left,D1_D4,1619,1939,765
34,left,D1_D5,1619,110,66
34,left,D2_D3,69,174,31
34,left,D2_D4,69,1939,60
34,left,D2_D5,69,110,15
34,left,D3_D4,174,1939,126
34,left,D3_D5,174,110,25
34,left,D4_D5,1939,110,45
34,right,D1_D2,720,1466,417
34,right,D1_D3,720,1507,369
34,right,D1_D4,720,1690,315
34,right,D1_D5,720,1905,352
34,right,D2_D3,1466,1507,848
34,right,D2_D4,1466,1690,829
34,right,D2_D5,1466,1905,923
34,right,D3_D4,1507,1690,1053
34,right,D3_D5,1507,1905,1105
34,right,D4_D5,1690,1905,1245
