subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
50,left,D1,9100,-2.958,-0.536,-0.1441,-0.1349,0.2299,4.929,0.3656,134,94,144,-44,-32,72
50,left,D1,8001,-3.508,-0.1374,0.4768,0.2804,1.236,10.89,0.8281,40,95,136,50,-31,64
50,left,D2,9100,-9.406,-0.7392,-0.2662,-0.2032,0.1678,2.58,0.5063,121,108,147,-31,-18,75
50,left,D2,8001,-2.744,-0.3676,0.168,0.1302,0.7179,7.801,0.5124,56,100,147,34,-26,75
50,left,D3,9100,-13.37,-1.243,-0.5285,-0.3707,0.06234,6.167,0.7678,121,108,147,-31,-18,75
50,left,D3,8001,-6.182,-0.4584,0.1183,0.09958,0.7175,5.015,0.5868,57,102,147,33,-24,75
50,left,D4,9100,-6.128,-0.62,-0.1807,-0.1477,0.2706,5.513,0.4779,121,108,147,-31,-18,75
50,left,D4,8001,-2.547,-0.2989,0.3499,0.2271,1.071,9.518,0.7379,55,101,147,35,-25,75
50,left,D5,9100,-5.93,-0.6334,-0.1432,-0.09508,0.3243,2.845,0.5124,131,120,140,-41,-6,68
50,left,D5,8001,-3.325,-0.1096,0.6204,0.4114,1.493,15.91,0.9364,57,101,147,33,-25,75
50,right,D1,9100,-2.398,-0.4269,0.1384,0.07137,0.8032,5.627,0.5782,134,89,141,-44,-37,69
50,right,D1,8000,-6.384,-0.7374,-0.2644,-0.204,0.1879,1.791,0.459,57,101,147,33,-25,75
50,right,D2,9100,-3.002,-0.4205,0.2603,0.1652,0.9895,12.81,0.7482,134,89,141,-44,-37,69
50,right,D2,8000,-7.139,-0.703,-0.187,-0.1781,0.3857,4.821,0.5298,58,100,147,32,-26,75
50,right,D3,9100,-1.79,-0.4571,0.1995,0.1242,0.8656,9.632,0.6636,134,89,141,-44,-37,69
50,right,D3,8000,-2.338,-0.4118,-0.03457,-0.04272,0.3513,2.755,0.3336,58,101,147,32,-25,75
50,right,D4,9100,-2.756,-0.5209,0.08462,0.01332,0.773,5.756,0.5837,136,100,143,-46,-26,71
50,right,D4,8000,-4.937,-0.5724,-0.1434,-0.1232,0.3034,1.839,0.4314,58,100,147,32,-26,75
50,right,D5,9100,-2.937,-0.3454,0.3032,0.1956,1.074,12.27,0.7379,134,89,141,-44,-37,69
50,right,D5,8000,-3.081,-0.6444,-0.1125,-0.1148,0.4626,5.058,0.5014,58,100,147,32,-26,75
