subject,hand,comparison,volume_a,volume_b,overlap
50,left,D1_D2,1424,616,227
50,left,D1_D3,1424,564,184
50,left,D1_D4,1424,1122,344
50,left,D1_D5,1424,2527,558
50,left,D2_D3,616,564,236
50,left,D2_D4,616,1122,297
50,left,D2_D5,616,2527,399
50,left,D3_D4,564,1122,339
50,left,D3_D5,564,2527,425
50,left,D4_D5,1122,2527,946
50,right,D1_D2,1105,1784,607
50,right,D1_D3,1105,1543,509
50,right,D1_D4,1105,1124,362
50,right,D1_D5,1105,1995,503
50,right,D2_D3,1784,1543,1000
50,right,D2_D4,1784,1124,719
50,right,D2_D5,1784,1995,1064
50,right,D3_D4,1543,1124,769
50,right,D3_D5,1543,1995,1061
50,right,D4_D5,1124,1995,906
