subject,hand,comparison,volume_a,volume_b,overlap
13,left,D1_D2,565,1441,201
13,left,D1_D3,565,1269,88
13,left,D1_D4,565,1107,24
13,left,D1_D5,565,1707,68
13,left,D2_D3,1441,1269,816
13,left,D2_D4,1441,1107,531
13,left,D2_D5,1441,1707,593
13,left,D3_D4,1269,1107,636
13,left,D3_D5,1269,1707,726
13,left,D4_D5,1107,1707,849
13,right,D1_D2,468,417,96
13,right,D1_D3,468,815,105
13,right,D1_D4,468,631,48
13,right,D1_D5,468,423,20
13,right,D2_D3,417,815,246
13,right,D2_D4,417,631,78
13,right,D2_D5,417,423,31
13,right,D3_D4,815,631,329
13,right,D3_D5,815,423,215
13,right,D4_D5,631,423,262
