subject,hand,comparison,volume_a,volume_b,overlap
13,left,D1_D2,234,568,51
13,left,D1_D3,234,536,7
13,left,D1_D4,234,375,0
13,left,D1_D5,234,713,2
13,left,D2_D3,568,536,251
13,left,D2_D4,568,375,38
13,left,D2_D5,568,713,32
13,left,D3_D4,536,375,132
13,left,D3_D5,536,713,124
13,left,D4_D5,375,713,253
13,right,D1_D2,112,194,21
13,right,D1_D3,112,232,26
13,right,D1_D4,112,197,26
13,right,D1_D5,112,122,19
13,right,D2_D3,194,232,86
13,right,D2_D4,194,197,11
13,right,D2_D5,194,122,10
13,right,D3_D4,232,197,46
13,right,D3_D5,232,122,26
13,right,D4_D5,197,122,72
