subject,hand,comparison,distance
13,left,D1_D2,0.2293649
13,left,D1_D3,0.310682
13,left,D1_D4,0.320911
13,left,D1_D5,0.2631032
13,left,D2_D3,0.08040278
13,left,D2_D4,0.2673856
13,left,D2_D5,0.311031
13,left,D3_D4,0.1630715
13,left,D3_D5,0.211778
13,left,D4_D5,0.1292256
13,right,D1_D2,0.2169084
13,right,D1_D3,0.2242994
13,right,D1_D4,0.3390472
13,right,D1_D5,0.2621666
13,right,D2_D3,0.118808
13,right,D2_D4,0.2472812
13,right,D2_D5,0.3466581
13,right,D3_D4,0.1530846
13,right,D3_D5,0.2125058
13,right,D4_D5,0.06278439
