subject,hand,comparison,volume_a,volume_b,overlap
54,left,D1_D2,1422,2352,1080
54,left,D1_D3,1422,1593,753
54,left,D1_D4,1422,2671,903
54,left,D1_D5,1422,2830,944
54,left,D2_D3,2352,1593,1314
54,left,D2_D4,2352,2671,1621
54,left,D2_D5,2352,2830,1564
54,left,D3_D4,1593,2671,1299
54,left,D3_D5,1593,2830,1178
54,left,D4_D5,2671,2830,2073
54,right,D1_D2,2162,2062,1240
54,right,D1_D3,2162,2323,1274
54,right,D1_D4,2162,2609,1284
54,right,D1_D5,2162,3241,1363
54,right,D2_D3,2062,2323,1528
54,right,D2_D4,2062,2609,1528
54,right,D2_D5,2062,3241,1591
54,right,D3_D4,2323,2609,1875
54,right,D3_D5,2323,3241,1967
54,right,D4_D5,2609,3241,2309
