subject,hand,comparison,distance
54,left,D1_D2,0.1299436
54,left,D1_D3,0.2173643
54,left,D1_D4,0.3458292
54,left,D1_D5,0.3910677
54,left,D2_D3,0.1327593
54,left,D2_D4,0.3132216
54,left,D2_D5,0.3731679
54,left,D3_D4,0.1672202
54,left,D3_D5,0.2667716
54,left,D4_D5,0.06997351
54,right,D1_D2,0.2425123
54,right,D1_D3,0.3418237
54,right,D1_D4,0.5330988
54,right,D1_D5,0.6253158
54,right,D2_D3,0.1263081
54,right,D2_D4,0.2717019
54,right,D2_D5,0.4177946
54,right,D3_D4,0.05723298
54,right,D3_D5,0.2151367
54,right,D4_D5,0.03602372
