subject,hand,comparison,volume_a,volume_b,overlap
18,left,D1_D2,273,238,52
18,left,D1_D3,273,71,38
18,left,D1_D4,273,587,72
18,left,D1_D5,273,170,49
18,left,D2_D3,238,71,33
18,left,D2_D4,238,587,92
18,left,D2_D5,238,170,52
18,left,D3_D4,71,587,35
18,left,D3_D5,71,170,37
18,left,D4_D5,587,170,95
18,right,D1_D2,368,381,69
18,right,D1_D3,368,237,37
18,right,D1_D4,368,115,11
18,right,D1_D5,368,288,45
18,right,D2_D3,381,237,110
18,right,D2_D4,381,115,42
18,right,D2_D5,381,288,150
18,right,D3_D4,237,115,20
18,right,D3_D5,237,288,108
18,right,D4_D5,115,288,24
