subject,hand,comparison,distance
18,left,D1_D2,0.2749795
18,left,D1_D3,0.3774976
18,left,D1_D4,0.3569053
18,left,D1_D5,0.4863765
18,left,D2_D3,0.1943223
18,left,D2_D4,0.3754441
18,left,D2_D5,0.561047
18,left,D3_D4,0.05579525
18,left,D3_D5,0.3794278
18,left,D4_D5,0.1411896
18,right,D1_D2,0.1235074
18,right,D1_D3,0.4261289
18,right,D1_D4,0.4891252
18,right,D1_D5,0.2771907
18,right,D2_D3,0.02026966
18,right,D2_D4,0.4364513
18,right,D2_D5,0.2327292
18,right,D3_D4,0.1991642
18,right,D3_D5,0.1696593
18,right,D4_D5,0.1942295
