subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
18,left,D1,8928,-4.26,-0.6815,-0.2978,-0.258,0.05649,2.603,0.3707,129,101,144,-39,-25,72
18,left,D1,7712,-3.585,-0.8906,-0.264,-0.2379,0.3335,6.783,0.5098,36,100,133,54,-26,61
18,left,D2,8928,-3.685,-0.6503,-0.2494,-0.2286,0.1657,1.513,0.3833,129,101,144,-39,-25,72
18,left,D2,7712,-4.472,-0.5788,-0.1336,-0.1443,0.3342,1.417,0.3779,36,114,124,54,-12,52
18,left,D3,8928,-6.302,-0.7252,-0.3336,-0.2954,0.05065,3.129,0.4175,129,101,144,-39,-25,72
18,left,D3,7712,-5.035,-0.9513,-0.4091,-0.362,0.1159,1.58,0.4985,39,113,136,51,-13,64
18,left,D4,8928,-5.436,-0.5882,-0.1641,-0.143,0.2607,1.61,0.4126,140,97,119,-50,-29,47
18,left,D4,7712,-1.436,-0.4707,0.007402,-0.03541,0.5577,3.408,0.4447,37,99,121,53,-27,49
18,left,D5,8928,-5.798,-0.8196,-0.3765,-0.3175,0.05933,1.533,0.4493,135,110,139,-45,-16,67
18,left,D5,7712,-8.267,-0.8659,-0.3187,-0.2737,0.2273,2.514,0.5443,39,113,136,51,-13,64
18,right,D1,8928,-1.917,-0.5103,-0.06503,-0.105,0.4025,3.135,0.4135,147,104,129,-57,-22,57
18,right,D1,7712,-0.9934,-0.2899,-0.01986,-0.03339,0.2392,3.429,0.2482,35,102,133,55,-24,61
18,right,D2,8928,-2.895,-0.5155,-0.06177,-0.08439,0.4129,4.784,0.42,136,96,137,-46,-30,65
18,right,D2,7712,-3.024,-0.4737,-0.1713,-0.1645,0.1405,1.143,0.2667,27,108,121,63,-18,49
18,right,D3,8928,-2.801,-0.4475,-0.04515,-0.06062,0.3661,5.448,0.3587,136,96,137,-46,-30,65
18,right,D3,7712,-2.312,-0.5235,-0.1564,-0.1467,0.1832,2.016,0.3056,35,101,133,55,-25,61
18,right,D4,8928,-4.229,-0.909,-0.3614,-0.3192,0.1517,2.29,0.4901,129,113,141,-39,-13,69
18,right,D4,7712,-5.3,-0.6893,-0.3086,-0.2372,0.03878,0.6886,0.3967,40,100,110,50,-26,38
18,right,D5,8928,-2.017,-0.5084,-0.09431,-0.1189,0.3532,4.578,0.3774,136,96,137,-46,-30,65
18,right,D5,7712,-3.841,-0.3875,-0.1127,-0.09717,0.1709,1.223,0.2852,34,101,113,56,-25,41
