subject,hand,comparison,distance
18,left,D1_D2,0.342761
18,left,D1_D3,0.4224954
18,left,D1_D4,0.4974747
18,left,D1_D5,0.59855
18,left,D2_D3,0.08848279
18,left,D2_D4,0.4247209
18,left,D2_D5,0.5400515
18,left,D3_D4,0.1556481
18,left,D3_D5,0.3946238
18,left,D4_D5,0.2094829
18,right,D1_D2,0.2115387
18,right,D1_D3,0.3936499
18,right,D1_D4,0.4788405
18,right,D1_D5,0.1715848
18,right,D2_D3,-0.0130095
18,right,D2_D4,0.3087187
18,right,D2_D5,0.09937448
18,right,D3_D4,0.1202309
18,right,D3_D5,0.1852096
18,right,D4_D5,0.1259005
