subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
25,left,D1,8558,-2.26,-0.3247,-0.005613,-0.01029,0.3163,1.343,0.2723,139,101,138,-49,-25,66
25,left,D1,9061,-1.325,-0.3929,0.1213,0.06551,0.7011,3.241,0.459,32,116,124,58,-10,52
25,left,D2,8558,-3.34,-0.3018,0.1284,0.1074,0.5972,2.108,0.3738,140,98,134,-50,-28,62
25,left,D2,9061,-1.018,-0.1343,0.3715,0.2648,0.9792,5.943,0.5533,33,116,126,57,-10,54
25,left,D3,8558,-1.234,-0.3426,-0.04229,-0.05198,0.2705,1.297,0.2442,141,105,137,-51,-21,65
25,left,D3,9061,-1.294,-0.2817,0.2254,0.1654,0.7708,4.437,0.4876,40,104,136,50,-22,64
25,left,D4,8558,-3.537,-0.524,-0.1068,-0.1138,0.3195,3.043,0.3698,134,99,140,-44,-27,68
25,left,D4,9061,-1.488,-0.3368,0.2048,0.1173,0.8161,5.733,0.5454,40,104,136,50,-22,64
25,left,D5,8558,-1.619,-0.1698,0.1607,0.1303,0.5264,2.45,0.292,144,104,134,-54,-22,62
25,left,D5,9061,-0.85,-0.1038,0.3884,0.2603,1.02,5.79,0.5472,40,104,136,50,-22,64
25,right,D1,8558,-1.269,-0.3217,0.2024,0.1573,0.7683,3.449,0.4648,153,109,113,-63,-17,41
25,right,D1,9061,-2.262,-0.499,-0.1638,-0.1643,0.1691,1.75,0.2738,47,94,140,43,-32,68
25,right,D2,8558,-1.116,-0.1689,0.4346,0.3309,1.117,6.998,0.6274,144,104,134,-54,-22,62
25,right,D2,9061,-1.518,-0.3878,-0.04822,-0.04849,0.2868,1.37,0.2769,28,111,120,62,-15,48
25,right,D3,8558,-1.185,-0.2284,0.239,0.1934,0.7558,3.759,0.4305,144,104,134,-54,-22,62
25,right,D3,9061,-1.979,-0.3833,-0.06948,-0.06858,0.2398,1.129,0.25,33,109,130,57,-17,58
25,right,D4,8558,-1.025,-0.2769,0.3509,0.193,1.15,8.419,0.7004,144,104,134,-54,-22,62
25,right,D4,9061,-2.816,-0.4994,-0.1313,-0.1355,0.2541,1.529,0.3176,47,94,140,43,-32,68
25,right,D5,8558,-0.8918,-0.2219,0.2476,0.1489,0.82,4.719,0.4952,136,104,140,-46,-22,68
25,right,D5,9061,-1.193,-0.2147,0.05004,0.04726,0.3237,1.853,0.2195,44,101,139,46,-25,67
