subject,hand,comparison,distance
25,left,D1_D2,0.2376252
25,left,D1_D3,0.3958348
25,left,D1_D4,0.4568768
25,left,D1_D5,0.3527923
25,left,D2_D3,0.2094387
25,left,D2_D4,0.3109709
25,left,D2_D5,0.2515139
25,left,D3_D4,0.2748188
25,left,D3_D5,0.2071127
25,left,D4_D5,0.1179501
25,right,D1_D2,0.2954099
25,right,D1_D3,0.175781
25,right,D1_D4,0.4211957
25,right,D1_D5,0.3077448
25,right,D2_D3,0.09740464
25,right,D2_D4,0.2020987
25,right,D2_D5,0.1549378
25,right,D3_D4,0.1812219
25,right,D3_D5,0.1682521
25,right,D4_D5,0.02816917
