subject,hand,comparison,volume_a,volume_b,overlap
35,left,D1_D2,795,77,5
35,left,D1_D3,795,531,268
35,left,D1_D4,795,58,1
35,left,D1_D5,795,817,186
35,left,D2_D3,77,531,26
35,left,D2_D4,77,58,0
35,left,D2_D5,77,817,3
35,left,D3_D4,531,58,3
35,left,D3_D5,531,817,214
35,left,D4_D5,58,817,43
35,right,D1_D2,505,5,4
35,right,D1_D3,505,49,37
35,right,D1_D4,505,22,6
35,right,D1_D5,505,580,223
35,right,D2_D3,5,49,4
35,right,D2_D4,5,22,3
35,right,D2_D5,5,580,2
35,right,D3_D4,49,22,6
35,right,D3_D5,49,580,37
35,right,D4_D5,22,580,6
