subject,hand,comparison,distance
35,left,D1_D2,0.1117056
35,left,D1_D3,0.1900657
35,left,D1_D4,0.3288712
35,left,D1_D5,0.4734807
35,left,D2_D3,0.07553437
35,left,D2_D4,0.1826624
35,left,D2_D5,0.4162815
35,left,D3_D4,0.1801225
35,left,D3_D5,0.247302
35,left,D4_D5,0.03730072
35,right,D1_D2,0.3017257
35,right,D1_D3,0.2526429
35,right,D1_D4,0.2138714
35,right,D1_D5,0.1735563
35,right,D2_D3,0.1298111
35,right,D2_D4,0.2084232
35,right,D2_D5,0.1955615
35,right,D3_D4,0.148844
35,right,D3_D5,0.1563205
35,right,D4_D5,0.03972257
