subject,hand,comparison,volume_a,volume_b,overlap
35,left,D1_D2,681,84,4
35,left,D1_D3,681,415,198
35,left,D1_D4,681,84,0
35,left,D1_D5,681,698,120
35,left,D2_D3,84,415,25
35,left,D2_D4,84,84,0
35,left,D2_D5,84,698,3
35,left,D3_D4,415,84,4
35,left,D3_D5,415,698,134
35,left,D4_D5,84,698,56
35,right,D1_D2,693,3,0
35,right,D1_D3,693,5,0
35,right,D1_D4,693,16,0
35,right,D1_D5,693,530,123
35,right,D2_D3,3,5,0
35,right,D2_D4,3,16,0
35,right,D2_D5,3,530,0
35,right,D3_D4,5,16,0
35,right,D3_D5,5,530,5
35,right,D4_D5,16,530,11
