subject,hand,trial,digit,absolute_error
40,left,1,D3,5.189874707984104
40,left,2,D1,5.203604044251268
40,left,3,D5,4.461900441742416
40,left,4,D2,2.525692209779705
40,left,5,D1,3.73332457264404
40,left,6,D2,1.8434904421418878
40,left,7,D5,2.85892271938024
40,left,8,D4,1.5409325692888354
40,left,9,D3,0.9088129728550846
40,left,10,D3,3.7719131115486224
40,left,11,D4,0.48344936739439015
40,left,12,D5,1.1845938707099006
40,left,13,D4,29.521042469684623
40,left,14,D2,10.332017924900894
40,left,15,D3,7.969228388398148
40,left,16,D4,7.7702086388850535
40,left,17,D5,2.1953895648888038
40,left,18,D2,2.62813147565657
40,left,19,D4,2.228086167233985
40,left,20,D2,10.96774193548387
40,left,21,D3,3.046866262813379
40,left,22,D2,6.513654810302117
40,left,23,D1,8.91234466893594
40,left,24,D4,4.139341614047034
40,left,25,D1,3.8960639732581397
40,left,26,D4,8.672743102102151
40,left,27,D2,0.9821839863996608
40,left,28,D4,30.39258266856631
40,left,29,D5,1.86666228632202
40,left,30,D3,1.7790502283546
40,left,31,D5,3.9483216056441175
40,left,32,D3,5.806451612903225
40,left,33,D5,7.543826223097245
40,left,34,D2,0.6962940302441298
40,left,35,D5,1.8801608134330354
40,left,36,D3,0.9821839863996608
40,left,37,D5,2.869757174392936
40,left,38,D1,9.90669052009508
40,left,39,D2,2.5761206267025054
40,left,40,D2,2.250197629629736
40,left,41,D5,2.005110211152479
40,left,42,D2,8.819967261450234
40,left,43,D4,3.255879372440314
40,left,44,D4,29.279096713029915
40,left,45,D1,1.86666228632202
40,left,46,D3,2.005110211152479
40,left,47,D3,0.7817648720335303
40,left,48,D3,0.3081865138577671
40,left,49,D5,3.158657284515294
40,left,50,D3,3.562164102496642
40,left,51,D2,2.3691877414198013
40,left,52,D5,2.9413839141653075
40,left,53,D4,1.0976947824444019
40,left,54,D4,0.6451612903225806
40,left,55,D5,2.466053533336448
40,left,56,D2,6.273846910291426
40,left,57,D5,2.4654921108621366
40,left,58,D3,3.158657284515294
40,left,59,D4,11.047428306393558
40,left,60,D3,5.993522488273068
40,left,61,D3,3.395999126010455
40,left,62,D5,1.9354838709677418
40,left,63,D1,7.927123711004405
40,left,64,D3,2.259070235230361
40,left,65,D2,3.7885383146695575
40,left,66,D2,3.4690693628341784
40,left,67,D5,3.046866262813379
40,left,68,D4,1.5687833381154646
40,left,69,D4,1.5409325692888354
40,left,70,D1,2.804400699596407
40,left,71,D4,2.0327783408753968
40,left,72,D2,2.664264758591888
40,left,73,D3,5.746132519574058
40,left,74,D5,3.703020391834747
40,left,75,D5,1.9983601826552437
40,left,76,D2,2.5806451612903225
40,left,77,D1,3.225806451612903
40,left,78,D4,1.3418484052620179
40,left,79,D2,4.29533243928012
40,left,80,D4,0.3081865138577671
40,left,81,D4,13.44977878522975
40,left,82,D3,11.443397536942005
40,left,83,D5,3.097980975942301
40,left,84,D2,6.88526011740392
40,left,85,D3,1.3418484052620179
40,left,86,D4,3.243646044439593
40,left,87,D3,1.5635297440670606
40,left,88,D1,7.876310396749203
40,left,89,D5,2.3689929633864706
40,left,90,D2,3.235599369043082
40,right,1,D5,14.11905004303918
40,right,2,D5,4.216255863461736
40,right,3,D4,2.013142285993559
40,right,4,D1,2.8067774408268122
40,right,5,D4,2.0456478363002293
40,right,6,D2,10.152436715282194
40,right,7,D5,2.512500872662847
40,right,8,D4,0.9821839863996608
40,right,9,D2,6.121829559141931
40,right,10,D2,2.5761206267025054
40,right,11,D3,5.008826721206259
40,right,12,D4,11.365614944008671
40,right,13,D3,2.1712182701007054
40,right,14,D3,7.5769402380552915
40,right,15,D1,5.118066867194558
40,right,16,D5,3.8594346332683087
40,right,17,D3,4.775348197160938
40,right,18,D2,2.3205450935442458
40,right,19,D5,3.0905077262693155
40,right,20,D2,3.6625725691521955
40,right,21,D4,5.832366081197349
40,right,22,D1,3.76510957651143
40,right,23,D4,2.5250179326173097
40,right,24,D3,4.251012707218514
40,right,25,D4,2.4064384235201772
40,right,26,D3,10.344228417686187
40,right,27,D4,2.931829697680735
40,right,28,D2,0.9245595415733012
40,right,29,D5,2.2998508007919374
40,right,30,D2,3.255879372440314
40,right,31,D3,4.500395259259472
40,right,32,D3,6.699479211090066
40,right,33,D5,1.399371320473731
40,right,34,D1,6.818826121000765
40,right,35,D2,4.451330513030507
40,right,36,D5,3.9967203653104875
40,right,37,D1,0.3081865138577671
40,right,38,D3,9.98074813916362
40,right,39,D5,5.3507875752999094
40,right,40,D3,5.796078754905272
40,right,41,D2,2.259070235230361
40,right,42,D2,8.702088613099024
40,right,43,D4,5.05138441955941
40,right,44,D5,2.4377603790715257
40,right,45,D3,3.867594939155121
40,right,46,D5,3.4814701512206496
40,right,47,D2,3.0818651385776707
40,right,48,D2,1.9337974695775606
40,right,49,D4,25.64133374066191
40,right,50,D4,3.969069981706668
40,right,51,D3,10.832974977233834
40,right,52,D4,8.256698570033917
40,right,53,D1,2.798742640947462
40,right,54,D5,2.259070235230361
40,right,55,D4,3.4871386959513915
40,right,56,D2,6.780103304870876
40,right,57,D2,7.637794752936358
40,right,58,D2,1.1037527593818983
