subject,hand,comparison,distance
64,left,D1_D2,0.2024663
64,left,D1_D3,0.3208131
64,left,D1_D4,0.4649195
64,left,D1_D5,0.5017812
64,left,D2_D3,0.2182274
64,left,D2_D4,0.4037508
64,left,D2_D5,0.4694831
64,left,D3_D4,0.1002801
64,left,D3_D5,0.171967
64,left,D4_D5,0.04738215
64,right,D1_D2,0.1793414
64,right,D1_D3,0.1074396
64,right,D1_D4,0.2099323
64,right,D1_D5,0.19373
64,right,D2_D3,0.07884566
64,right,D2_D4,0.2311726
64,right,D2_D5,0.2655014
64,right,D3_D4,0.09942678
64,right,D3_D5,0.1300374
64,right,D4_D5,0.04574578
