subject,hand,comparison,volume_a,volume_b,overlap
46,left,D1_D2,2065,483,361
46,left,D1_D3,2065,1997,1065
46,left,D1_D4,2065,1571,753
46,left,D1_D5,2065,1920,885
46,left,D2_D3,483,1997,413
46,left,D2_D4,483,1571,344
46,left,D2_D5,483,1920,392
46,left,D3_D4,1997,1571,1090
46,left,D3_D5,1997,1920,1329
46,left,D4_D5,1571,1920,1130
46,right,D1_D2,1479,2634,977
46,right,D1_D3,1479,1719,683
46,right,D1_D4,1479,1537,660
46,right,D1_D5,1479,1022,346
46,right,D2_D3,2634,1719,1369
46,right,D2_D4,2634,1537,1190
46,right,D2_D5,2634,1022,700
46,right,D3_D4,1719,1537,1040
46,right,D3_D5,1719,1022,625
46,right,D4_D5,1537,1022,766
