subject,hand,comparison,volume_a,volume_b,overlap
60,left,D1_D2,2406,1465,1092
60,left,D1_D3,2406,2713,1531
60,left,D1_D4,2406,2208,1305
60,left,D1_D5,2406,1201,780
60,left,D2_D3,1465,2713,1230
60,left,D2_D4,1465,2208,1095
60,left,D2_D5,1465,1201,735
60,left,D3_D4,2713,2208,1852
60,left,D3_D5,2713,1201,1089
60,left,D4_D5,2208,1201,1029
60,right,D1_D2,1297,2022,857
60,right,D1_D3,1297,2104,776
60,right,D1_D4,1297,1651,658
60,right,D1_D5,1297,1760,652
60,right,D2_D3,2022,2104,1509
60,right,D2_D4,2022,1651,1141
60,right,D2_D5,2022,1760,1219
60,right,D3_D4,2104,1651,1226
60,right,D3_D5,2104,1760,1331
60,right,D4_D5,1651,1760,1106
