subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
60,left,D1,6510,-0.7807,-0.171,0.1028,0.0805,0.3924,2.304,0.2443,126,111,141,-36,-15,69
60,left,D1,6022,-0.5839,0.03144,0.5275,0.4548,1.08,6.473,0.4849,34,108,121,56,-18,49
60,left,D2,6510,-2.014,-0.3604,-0.009025,-0.01535,0.3471,1.329,0.3006,147,112,110,-57,-14,38
60,left,D2,6022,-0.8894,-0.1057,0.351,0.2733,0.9307,3.187,0.4427,35,118,127,55,-8,55
60,left,D3,6510,-0.8296,-0.155,0.1507,0.1288,0.4695,1.947,0.2673,148,111,110,-58,-15,38
60,left,D3,6022,-0.6225,-0.0142,0.6094,0.4884,1.378,4.671,0.6066,46,103,134,44,-23,62
60,left,D4,6510,-0.8399,-0.2554,0.05233,0.04463,0.361,1.432,0.2494,148,111,110,-58,-15,38
60,left,D4,6022,-0.8877,-0.01117,0.5151,0.4162,1.161,3.975,0.5221,47,102,134,43,-24,62
60,left,D5,6510,-1.043,-0.346,-0.06205,-0.06628,0.2176,1.101,0.2355,148,111,113,-58,-15,41
60,left,D5,6022,-0.6611,-0.1323,0.2812,0.2234,0.7439,3.398,0.3958,47,101,134,43,-25,62
60,right,D1,6510,-0.877,-0.1374,0.3045,0.226,0.8218,4.463,0.4281,138,108,132,-48,-18,60
60,right,D1,6022,-0.943,-0.3144,-0.02625,-0.03575,0.2578,1.926,0.2476,34,106,122,56,-20,50
60,right,D2,6510,-0.7068,-0.0559,0.4689,0.3623,1.083,6.22,0.5476,138,108,132,-48,-18,60
60,right,D2,6022,-0.5912,-0.2519,0.006462,-0.01426,0.2851,2.192,0.2225,34,106,122,56,-20,50
60,right,D3,6510,-0.7394,-0.07157,0.4681,0.3415,1.09,5.805,0.6069,138,108,132,-48,-18,60
60,right,D3,6022,-0.7967,-0.2645,0.01647,0.002766,0.3133,1.369,0.2319,34,108,121,56,-18,49
60,right,D4,6510,-0.9357,-0.1232,0.3868,0.2959,0.9572,4.297,0.5434,138,99,134,-48,-27,62
60,right,D4,6022,-0.7721,-0.2773,-0.008623,-0.02103,0.2747,1.238,0.2239,34,106,122,56,-20,50
60,right,D5,6510,-0.681,-0.05997,0.4143,0.3137,0.968,3.83,0.5122,138,99,134,-48,-27,62
60,right,D5,6022,-0.8546,-0.2383,0.02497,0.01034,0.2984,1.38,0.2255,34,106,122,56,-20,50
