subject,hand,trial,digit,absolute_error
13,left,1,D2,5.180139092590037
13,left,2,D2,6.09591317651205
13,left,3,D5,8.603532298704252
13,left,4,D2,4.351044306549512
13,left,5,D5,4.314611194008739
13,left,6,D3,5.95560151072254
13,left,7,D1,3.818897376468179
13,left,8,D5,4.368452957733498
13,left,9,D4,43.50589822851797
13,left,10,D3,3.3444760668491926
13,left,11,D5,1.6979995630052276
13,left,12,D4,6.236559139784946
13,left,13,D1,0.3081865138577671
13,left,14,D4,0.6163730277155341
13,left,15,D3,2.2998508007919374
13,left,16,D4,5.8118978265856525
13,left,17,D2,7.315159525175324
13,left,18,D3,47.23097252871825
13,left,19,D3,4.753104173800406
13,left,20,D5,6.818863303571467
13,left,21,D2,4.9771377465215965
13,left,22,D4,4.649052762643946
13,left,23,D3,1.7790502283546
13,left,24,D2,2.1953895648888038
13,left,25,D1,5.118066867194558
13,left,26,D2,5.328529517183776
13,left,27,D4,12.171806750979963
13,left,28,D3,7.258095527369708
13,left,29,D1,0.7896643211288235
13,left,30,D2,5.86365939536147
13,left,31,D5,1.1623795653171305
13,left,32,D3,6.688952133698385
13,left,33,D4,6.757419226175596
13,left,34,D4,4.8128768470403545
13,left,35,D5,3.395999126010455
13,left,36,D5,5.296270997047009
13,left,37,D5,8.01071995385342
13,left,38,D3,7.373961768567551
13,left,39,D2,2.512500872662847
13,left,40,D1,4.37433604377225
13,left,41,D3,2.798742640947462
13,left,42,D2,5.180139092590037
13,left,43,D4,1.6979995630052276
13,left,44,D4,4.9771377465215965
13,left,45,D3,8.91234466893594
13,left,46,D5,3.235599369043082
13,left,47,D2,9.858727537970871
13,left,48,D4,44.89725989668658
13,left,49,D1,4.436127324593631
13,left,50,D3,3.8709677419354835
13,left,51,D2,6.796966489984968
13,left,52,D4,6.466701808316556
13,left,53,D5,2.62813147565657
13,left,54,D5,3.289215829171039
13,left,55,D3,45.03651183552513
13,left,56,D5,7.39647633258641
13,left,57,D4,5.416487488616917
13,left,58,D3,3.127059488134121
13,left,59,D5,3.562164102496642
13,left,60,D4,2.250197629629736
13,left,61,D5,3.4904732262507987
13,left,62,D4,3.6869808842837757
13,left,63,D1,1.0856091350503527
13,left,64,D2,1.2784769236767053
13,left,65,D3,7.944406495570513
13,left,66,D4,2.2075055187637966
13,left,67,D1,4.624370644248432
13,left,68,D5,1.075268817204301
13,left,69,D2,3.137566676230929
13,left,70,D3,2.85892271938024
13,left,71,D2,2.0676011760226904
13,left,72,D2,6.843409526396694
13,left,73,D4,0.6818826121000765
13,left,74,D1,5.084473238766949
13,left,75,D3,4.329898849944084
13,left,76,D4,4.537658499779271
13,left,77,D2,6.485513573222497
13,left,78,D5,3.395999126010455
13,left,79,D3,0.662251655629139
13,left,80,D2,3.158657284515294
13,left,81,D3,3.9704010071483604
13,left,82,D5,7.713201461669961
13,left,83,D2,5.733280719741365
13,left,84,D1,3.5434668042881428
13,left,85,D4,4.737767804196698
13,left,86,D2,1.5601466670485378
13,left,87,D5,4.45617233446797
13,left,88,D3,7.776892963050611
13,left,89,D5,4.644206321619506
13,left,90,D4,42.71928724523746
13,right,1,D2,8.41320209878922
