subject,hand,comparison,volume_a,volume_b,overlap
32,left,D1_D2,1076,990,422
32,left,D1_D3,1076,1855,481
32,left,D1_D4,1076,1530,425
32,left,D1_D5,1076,1328,340
32,left,D2_D3,990,1855,711
32,left,D2_D4,990,1530,609
32,left,D2_D5,990,1328,541
32,left,D3_D4,1855,1530,1134
32,left,D3_D5,1855,1328,1029
32,left,D4_D5,1530,1328,1018
32,right,D1_D2,3097,2682,1915
32,right,D1_D3,3097,2707,1939
32,right,D1_D4,3097,2093,1529
32,right,D1_D5,3097,1875,1326
32,right,D2_D3,2682,2707,2267
32,right,D2_D4,2682,2093,1799
32,right,D2_D5,2682,1875,1642
32,right,D3_D4,2707,2093,1727
32,right,D3_D5,2707,1875,1586
32,right,D4_D5,2093,1875,1516
