subject,hand,comparison,distance
32,left,D1_D2,0.2136021
32,left,D1_D3,0.2573647
32,left,D1_D4,0.364792
32,left,D1_D5,0.2919627
32,left,D2_D3,0.08809765
32,left,D2_D4,0.2151201
32,left,D2_D5,0.1573223
32,left,D3_D4,0.04133431
32,left,D3_D5,0.1077864
32,left,D4_D5,0.03047516
32,right,D1_D2,0.246009
32,right,D1_D3,0.1986946
32,right,D1_D4,0.3495251
32,right,D1_D5,0.4118075
32,right,D2_D3,-0.01027722
32,right,D2_D4,0.1545923
32,right,D2_D5,0.2087023
32,right,D3_D4,0.1393738
32,right,D3_D5,0.2149373
32,right,D4_D5,0.05086936
