subject,hand,comparison,distance
56,left,D1_D2,0.3446049
56,left,D1_D3,0.5490761
56,left,D1_D4,0.561439
56,left,D1_D5,0.534743
56,left,D2_D3,0.1877699
56,left,D2_D4,0.1979707
56,left,D2_D5,0.2572188
56,left,D3_D4,0.0660321
56,left,D3_D5,0.1865498
56,left,D4_D5,0.1098756
56,right,D1_D2,0.3046423
56,right,D1_D3,0.3516795
56,right,D1_D4,0.3416333
56,right,D1_D5,0.3591104
56,right,D2_D3,0.1243796
56,right,D2_D4,0.2118488
56,right,D2_D5,0.2145109
56,right,D3_D4,0.07068791
56,right,D3_D5,0.1273501
56,right,D4_D5,0.04854622
