subject,hand,comparison,distance
56,left,D1_D2,0.3529117
56,left,D1_D3,0.5824327
56,left,D1_D4,0.4761826
56,left,D1_D5,0.4045827
56,left,D2_D3,0.1931919
56,left,D2_D4,0.1839692
56,left,D2_D5,0.1991721
56,left,D3_D4,0.03955138
56,left,D3_D5,0.1753927
56,left,D4_D5,0.08554981
56,right,D1_D2,0.2188943
56,right,D1_D3,0.1760661
56,right,D1_D4,0.1784291
56,right,D1_D5,0.186433
56,right,D2_D3,0.05802374
56,right,D2_D4,0.1465066
56,right,D2_D5,0.134378
56,right,D3_D4,0.03693952
56,right,D3_D5,0.07093395
56,right,D4_D5,-0.009017529
