subject,hand,comparison,volume_a,volume_b,overlap
56,left,D1_D2,2289,2032,1241
56,left,D1_D3,2289,2293,1238
56,left,D1_D4,2289,1861,1029
56,left,D1_D5,2289,2461,1283
56,left,D2_D3,2032,2293,1585
56,left,D2_D4,2032,1861,1341
56,left,D2_D5,2032,2461,1487
56,left,D3_D4,2293,1861,1612
56,left,D3_D5,2293,2461,1846
56,left,D4_D5,1861,2461,1593
56,right,D1_D2,1486,1425,920
56,right,D1_D3,1486,1559,920
56,right,D1_D4,1486,1503,918
56,right,D1_D5,1486,1272,770
56,right,D2_D3,1425,1559,1073
56,right,D2_D4,1425,1503,1013
56,right,D2_D5,1425,1272,909
56,right,D3_D4,1559,1503,1143
56,right,D3_D5,1559,1272,1001
56,right,D4_D5,1503,1272,1012
