subject,hand,comparison,volume_a,volume_b,overlap
56,left,D1_D2,2112,1663,1133
56,left,D1_D3,2112,1566,979
56,left,D1_D4,2112,1224,747
56,left,D1_D5,2112,1632,970
56,left,D2_D3,1663,1566,1076
56,left,D2_D4,1663,1224,834
56,left,D2_D5,1663,1632,946
56,left,D3_D4,1566,1224,1020
56,left,D3_D5,1566,1632,1119
56,left,D4_D5,1224,1632,968
56,right,D1_D2,750,659,394
56,right,D1_D3,750,829,421
56,right,D1_D4,750,418,289
56,right,D1_D5,750,504,253
56,right,D2_D3,659,829,391
56,right,D2_D4,659,418,245
56,right,D2_D5,659,504,248
56,right,D3_D4,829,418,275
56,right,D3_D5,829,504,271
56,right,D4_D5,418,504,226
