subject,hand,comparison,distance
45,left,D1_D2,0.1360435
45,left,D1_D3,0.284056
45,left,D1_D4,0.3481317
45,left,D1_D5,0.404715
45,left,D2_D3,0.1197081
45,left,D2_D4,0.2845145
45,left,D2_D5,0.2903865
45,left,D3_D4,0.1475662
45,left,D3_D5,0.2465156
45,left,D4_D5,0.1185017
45,right,D1_D2,0.1653851
45,right,D1_D3,0.3120674
45,right,D1_D4,0.3788978
45,right,D1_D5,0.4249887
45,right,D2_D3,0.06791945
45,right,D2_D4,0.1485983
45,right,D2_D5,0.2899435
45,right,D3_D4,0.0842086
45,right,D3_D5,0.2482596
45,right,D4_D5,0.1152434
