subject,hand,comparison,volume_a,volume_b,overlap
45,left,D1_D2,1274,779,524
45,left,D1_D3,1274,1971,679
45,left,D1_D4,1274,1423,502
45,left,D1_D5,1274,1981,594
45,left,D2_D3,779,1971,569
45,left,D2_D4,779,1423,452
45,left,D2_D5,779,1981,527
45,left,D3_D4,1971,1423,1017
45,left,D3_D5,1971,1981,1286
45,left,D4_D5,1423,1981,1056
45,right,D1_D2,2163,2410,1223
45,right,D1_D3,2163,1620,814
45,right,D1_D4,2163,1588,589
45,right,D1_D5,2163,2469,973
45,right,D2_D3,2410,1620,1092
45,right,D2_D4,2410,1588,951
45,right,D2_D5,2410,2469,1414
45,right,D3_D4,1620,1588,901
45,right,D3_D5,1620,2469,1102
45,right,D4_D5,1588,2469,1263
