subject,hand,comparison,volume_a,volume_b,overlap
45,left,D1_D2,265,216,31
45,left,D1_D3,265,892,47
45,left,D1_D4,265,622,25
45,left,D1_D5,265,967,45
45,left,D2_D3,216,892,49
45,left,D2_D4,216,622,12
45,left,D2_D5,216,967,46
45,left,D3_D4,892,622,411
45,left,D3_D5,892,967,485
45,left,D4_D5,622,967,462
45,right,D1_D2,713,1082,392
45,right,D1_D3,713,648,238
45,right,D1_D4,713,714,223
45,right,D1_D5,713,1171,327
45,right,D2_D3,1082,648,350
45,right,D2_D4,1082,714,383
45,right,D2_D5,1082,1171,602
45,right,D3_D4,648,714,274
45,right,D3_D5,648,1171,303
45,right,D4_D5,714,1171,561
