subject,hand,comparison,distance
45,left,D1_D2,0.05758784
45,left,D1_D3,0.2154825
45,left,D1_D4,0.2576085
45,left,D1_D5,0.2765615
45,left,D2_D3,0.1237691
45,left,D2_D4,0.1660229
45,left,D2_D5,0.2533621
45,left,D3_D4,0.1528683
45,left,D3_D5,0.2134847
45,left,D4_D5,0.09117855
45,right,D1_D2,0.1491546
45,right,D1_D3,0.2653604
45,right,D1_D4,0.3870989
45,right,D1_D5,0.4357078
45,right,D2_D3,0.0169674
45,right,D2_D4,0.1230227
45,right,D2_D5,0.1919853
45,right,D3_D4,0.06323033
45,right,D3_D5,0.2254912
45,right,D4_D5,0.07642426
